"","SNP","gene_ID","functional_annotation","arabidopsis_annot","GOterm","chrom","startpos","endpos","mid_distance"
"16","S10_2963170","Manes.10G034400","(1 of 3) 1.2.4.2 - Oxoglutarate dehydrogenase (succinyl-transferring) / Oxoglutarate dehydrogenase (lipoamide)","2-oxoglutarate dehydrogenase, E1 component","GO:0016624,GO:0008152,GO:0055114,GO:0030976,GO:0006099,GO:0004591","10","2900615","2906565","59580"
"17","S10_2963170","Manes.10G034300","(1 of 2) PTHR24073:SF541 - RAS-RELATED PROTEIN RABE1A","Ras-related small GTP-binding family protein","GO:0005525","10","2889471","2894830","71019.5"
"18","S10_2963170","Manes.10G034200","(1 of 6) PTHR11926//PTHR11926:SF190 - GLUCOSYL/GLUCURONOSYL TRANSFERASES","UDP-glucosyl transferase 73B3","GO:0016758,GO:0008152","10","2886603","2888377","75680"
"19","S10_2963170","Manes.10G034000","(1 of 4) PTHR11758:SF16 - RIBOSOMAL PROTEIN S15A","ribosomal protein S15A","GO:0006412,GO:0005840,GO:0003735","10","2879273","2881522","82772.5"
"20","S10_2963170","Manes.10G036100","(1 of 7) PTHR31234:SF8 - EXPRESSED PROTEIN","Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family",NA,"10","3045828","3046505","82996.5"
"21","S10_2963170","Manes.10G036200","(1 of 53) PF13912 - C2H2-type zinc finger (zf-C2H2_6)","C2H2-type zinc finger family protein",NA,"10","3049784","3050602","87023"
"22","S10_2963170","Manes.10G033900",NA,"basic helix-loop-helix (bHLH) DNA-binding superfamily protein",NA,"10","2870563","2871509","92134"
"23","S10_2963170","Manes.10G033800","(1 of 96) PF04043 - Plant invertase/pectin methylesterase inhibitor","Plant invertase/pectin methylesterase inhibitor superfamily protein","GO:0004857","10","2867470","2867973","95448.5"
"24","S1_23484417","Manes.01G115400","(1 of 2) PTHR10641//PTHR10641:SF550 - MYB-LIKE DNA-BINDING PROTEIN MYB","myb domain protein 4",NA,"1","23483397","23484731","353"
"25","S1_23484417","Manes.01G115500","(1 of 53) PF14009 - Domain of unknown function (DUF4228) (DUF4228)","plastid movement impaired 2",NA,"1","23492003","23493936","8552.5"
"26","S1_23484417","Manes.01G115300","(1 of 1) PTHR12689 - A1 CISTRON SPLICING FACTOR AAR2-RELATED","AAR2 protein family",NA,"1","23471261","23479207","9183"
"27","S1_23484417","Manes.01G115600",NA,NA,NA,"1","23494447","23494905","10259"
"28","S1_23484417","Manes.01G115200",NA,NA,NA,"1","23468598","23470785","14725.5"
"29","S1_23484417","Manes.01G115200",NA,NA,NA,"1","23468530","23470736","14784"
"30","S1_23484417","Manes.01G115100","(1 of 3) PTHR22814//PTHR22814:SF150 - COPPER TRANSPORT PROTEIN ATOX1-RELATED","Heavy metal transport/detoxification superfamily protein ","GO:0046872,GO:0030001","1","23465949","23467444","17720.5"
"31","S1_23484417","Manes.01G115100","(1 of 3) PTHR22814//PTHR22814:SF150 - COPPER TRANSPORT PROTEIN ATOX1-RELATED","Heavy metal transport/detoxification superfamily protein ","GO:0046872,GO:0030001","1","23465746","23467444","17822"
"32","S1_23484417","Manes.01G115000","(1 of 4) PTHR22814//PTHR22814:SF47 - COPPER TRANSPORT PROTEIN ATOX1-RELATED","Heavy metal transport/detoxification superfamily protein ","GO:0046872,GO:0030001","1","23456992","23458337","26752.5"
"33","S1_23484417","Manes.01G114900","(1 of 1) 2.1.2.9 - Methionyl-tRNA formyltransferase / transformylase","formyltransferase, putative","GO:0016742,GO:0009058","1","23445149","23454512","34586.5"
"34","S1_23484417","Manes.01G114900","(1 of 1) 2.1.2.9 - Methionyl-tRNA formyltransferase / transformylase","formyltransferase, putative","GO:0016742,GO:0009058","1","23444232","23454512","35045"
"35","S1_23484417","Manes.01G115900","(1 of 3) 3.4.21.108 - HtrA2 peptidase / Serine proteinase OMI","DegP protease 7","GO:0005515","1","23509862","23540038","40533"
"36","S1_23484417","Manes.01G114800","(1 of 2) PTHR35106:SF2 - EXPRESSED PROTEIN",NA,NA,"1","23439349","23440437","44524"
"37","S1_23484417","Manes.01G114700","(1 of 1) PTHR33782:SF1 - BY GENSCAN AND GENEFINDER-RELATED",NA,NA,"1","23437551","23438358","46462.5"
"38","S1_23484417","Manes.01G114600","(1 of 9) KOG2722 - Predicted membrane protein","Auxin efflux carrier family protein","GO:0055085,GO:0016021","1","23431543","23433396","51947.5"
"39","S1_23484417","Manes.01G114400",NA,NA,NA,"1","23420212","23420832","63895"
"40","S1_23484417","Manes.01G116000","(1 of 3) 3.4.21.108 - HtrA2 peptidase / Serine proteinase OMI","DegP protease 7","GO:0005515","1","23540460","23559549","65587.5"
"41","S1_23484417","Manes.01G116000","(1 of 3) 3.4.21.108 - HtrA2 peptidase / Serine proteinase OMI","DegP protease 7","GO:0005515","1","23540457","23564105","67864"
"42","S1_23484417","Manes.01G116000","(1 of 3) 3.4.21.108 - HtrA2 peptidase / Serine proteinase OMI","DegP protease 7","GO:0005515","1","23540460","23564105","67865.5"
"43","S1_23484417","Manes.01G114200","(1 of 9) PTHR31009:SF7 - S-ADENOSYL-L-METHIONINE:SALICYLIC ACID CARBOXYL METHYLTRANSFERASE, 41514-39166-RELATED","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein","GO:0008168","1","23407415","23408577","76421"
"44","S1_23484417","Manes.01G114200","(1 of 9) PTHR31009:SF7 - S-ADENOSYL-L-METHIONINE:SALICYLIC ACID CARBOXYL METHYLTRANSFERASE, 41514-39166-RELATED","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein","GO:0008168","1","23406974","23408577","76641.5"
"45","S1_23484417","Manes.01G114100","(1 of 5) PTHR13234:SF8 - GAMMA-INTERFERON-INDUCIBLE LYSOSOMAL THIOL REDUCTASE","gamma interferon responsive lysosomal thiol (GILT) reductase family protein",NA,"1","23405454","23406789","78295.5"
"46","S1_23484417","Manes.01G114000","(1 of 53) PF14009 - Domain of unknown function (DUF4228) (DUF4228)",NA,NA,"1","23402390","23402926","81759"
"47","S1_23484417","Manes.01G116100","(1 of 1) PTHR11207//PTHR11207:SF8 - RIBONUCLEASE III","dsRNA-binding domain-like superfamily protein",NA,"1","23565909","23572603","84839"
"48","S1_23484417","Manes.01G113900","(1 of 2) PTHR12040 - ANTI-SILENCING PROTEIN 1","anti- silencing function 1b","GO:0006333,GO:0005634","1","23394628","23397626","88290"
"49","S1_23484417","Manes.01G113800","(1 of 17) PF12874 - Zinc-finger of C2H2 type (zf-met)",NA,NA,"1","23390344","23393349","92570.5"
"50","S1_23484417","Manes.01G116200","(1 of 205) PF01535//PF13041 - PPR repeat (PPR)  // PPR repeat family (PPR_2)","Tetratricopeptide repeat (TPR)-like superfamily protein",NA,"1","23577670","23579507","94171.5"
"51","S1_23484417","Manes.01G116300","(1 of 3) PTHR11710 - 40S RIBOSOMAL PROTEIN S19","Ribosomal protein S19e family protein","GO:0006412,GO:0005840,GO:0003735","1","23582795","23585358","99659.5"
"52","S1_23484417","Manes.01G113700","(1 of 1) 4.1.1.8 - Oxalyl-CoA decarboxylase / Oxalyl-CoA carboxy-lyase","Thiamine pyrophosphate dependent pyruvate decarboxylase family protein","GO:0030976,GO:0003824,GO:0000287","1","23378517","23387444","101436.5"
